DriverId,TotalDriverPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName,TotalSprintRacePoints,SprintPoints,PlacesGainedSprintPoints,TeammateSprintPoints
sainz,5.0,5.0,0,5.0,0.0,0.0,0.0,0.0,Bahrain Grand Prix,,,,
stroll,4.0,0.0,0,0.0,4.0,0.0,4.0,0.0,Bahrain Grand Prix,,,,
tsunoda,4.0,0.0,0,0.0,4.0,2.0,2.0,0.0,Bahrain Grand Prix,,,,
albon,6.0,0.0,0,0.0,6.0,2.0,4.0,0.0,Saudi Arabian Grand Prix,,,,
alonso,14.0,5.0,0,5.0,9.0,0.0,4.0,5.0,Saudi Arabian Grand Prix,,,,
antonelli,8.0,0.0,0,0.0,8.0,8.0,0.0,0.0,Saudi Arabian Grand Prix,,,,
bearman,14.0,5.0,0,5.0,9.0,0.0,4.0,5.0,Saudi Arabian Grand Prix,,,,
bortoleto,4.0,0.0,0,0.0,4.0,0.0,4.0,0.0,Saudi Arabian Grand Prix,,,,
doohan,5.0,0.0,0,0.0,5.0,0.0,0.0,5.0,Saudi Arabian Grand Prix,,,,
gasly,5.0,5.0,0,5.0,0.0,0.0,0.0,0.0,Saudi Arabian Grand Prix,,,,
hadjar,14.0,0.0,0,0.0,14.0,1.0,8.0,5.0,Saudi Arabian Grand Prix,,,,
hamilton,6.0,0.0,0,0.0,6.0,6.0,0.0,0.0,Saudi Arabian Grand Prix,,,,
hulkenberg,16.0,5.0,0,5.0,11.0,0.0,6.0,5.0,Saudi Arabian Grand Prix,,,,
lawson,5.0,5.0,0,5.0,0.0,0.0,0.0,0.0,Saudi Arabian Grand Prix,,,,
leclerc,27.0,5.0,0,5.0,22.0,15.0,2.0,5.0,Saudi Arabian Grand Prix,,,,
max_verstappen,38.0,15.0,10,5.0,23.0,18.0,0.0,5.0,Saudi Arabian Grand Prix,,,,
norris,24.0,0.0,0,0.0,24.0,12.0,12.0,0.0,Saudi Arabian Grand Prix,,,,
ocon,10.0,0.0,0,0.0,10.0,0.0,10.0,0.0,Saudi Arabian Grand Prix,,,,
piastri,37.0,5.0,0,5.0,32.0,25.0,2.0,5.0,Saudi Arabian Grand Prix,,,,
russell,20.0,5.0,0,5.0,15.0,10.0,0.0,5.0,Saudi Arabian Grand Prix,,,,
sainz,14.0,5.0,0,5.0,9.0,4.0,0.0,5.0,Saudi Arabian Grand Prix,,,,
stroll,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Saudi Arabian Grand Prix,,,,
tsunoda,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Saudi Arabian Grand Prix,,,,
albon,24.0,0.0,0,0.0,19.0,10.0,4.0,5.0,Miami Grand Prix,5.0,0.0,0.0,5.0
alonso,14.0,5.0,0,5.0,9.0,0.0,4.0,5.0,Miami Grand Prix,0.0,0.0,0.0,0.0
antonelli,15.0,5.0,0,5.0,8.0,8.0,0.0,0.0,Miami Grand Prix,2.0,2.0,0.0,0.0
bearman,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Miami Grand Prix,5.0,0.0,5.0,0.0
bortoleto,8.0,5.0,0,5.0,0.0,0.0,0.0,0.0,Miami Grand Prix,3.0,0.0,3.0,0.0
doohan,6.0,5.0,0,5.0,0.0,0.0,0.0,0.0,Miami Grand Prix,1.0,0.0,1.0,0.0
gasly,30.0,0.0,0,0.0,19.0,0.0,14.0,5.0,Miami Grand Prix,11.0,1.0,5.0,5.0
hadjar,15.0,5.0,0,5.0,5.0,0.0,0.0,5.0,Miami Grand Prix,5.0,0.0,0.0,5.0
hamilton,27.0,0.0,0,0.0,12.0,4.0,8.0,0.0,Miami Grand Prix,15.0,6.0,4.0,5.0
hulkenberg,16.0,0.0,0,0.0,9.0,0.0,4.0,5.0,Miami Grand Prix,7.0,0.0,2.0,5.0
lawson,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Miami Grand Prix,1.0,0.0,1.0,0.0
leclerc,18.0,5.0,0,5.0,13.0,6.0,2.0,5.0,Miami Grand Prix,0.0,0.0,0.0,0.0
max_verstappen,32.0,15.0,10,5.0,17.0,12.0,0.0,5.0,Miami Grand Prix,0.0,0.0,0.0,0.0
norris,38.0,5.0,0,5.0,18.0,18.0,0.0,0.0,Miami Grand Prix,15.0,8.0,2.0,5.0
ocon,15.0,5.0,0,5.0,5.0,0.0,0.0,5.0,Miami Grand Prix,5.0,0.0,0.0,5.0
piastri,43.0,0.0,0,0.0,36.0,25.0,6.0,5.0,Miami Grand Prix,7.0,7.0,0.0,0.0
russell,35.0,0.0,0,0.0,24.0,15.0,4.0,5.0,Miami Grand Prix,11.0,5.0,1.0,5.0
sainz,7.0,5.0,0,5.0,2.0,2.0,0.0,0.0,Miami Grand Prix,0.0,0.0,0.0,0.0
stroll,24.0,0.0,0,0.0,4.0,0.0,4.0,0.0,Miami Grand Prix,20.0,4.0,11.0,5.0
tsunoda,23.0,0.0,0,0.0,1.0,1.0,0.0,0.0,Miami Grand Prix,22.0,3.0,14.0,5.0
albon,19.0,0.0,0,0.0,19.0,10.0,4.0,5.0,Emilia Romagna Grand Prix,,,,
alonso,10.0,5.0,0,5.0,5.0,0.0,0.0,5.0,Emilia Romagna Grand Prix,,,,
antonelli,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Emilia Romagna Grand Prix,,,,
bearman,9.0,0.0,0,0.0,9.0,0.0,4.0,5.0,Emilia Romagna Grand Prix,,,,
bortoleto,5.0,5.0,0,5.0,0.0,0.0,0.0,0.0,Emilia Romagna Grand Prix,,,,
colapinto,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Emilia Romagna Grand Prix,,,,
gasly,10.0,5.0,0,5.0,5.0,0.0,0.0,5.0,Emilia Romagna Grand Prix,,,,
hadjar,12.0,5.0,0,5.0,7.0,2.0,0.0,5.0,Emilia Romagna Grand Prix,,,,
hamilton,33.0,0.0,0,0.0,33.0,12.0,16.0,5.0,Emilia Romagna Grand Prix,,,,
hulkenberg,15.0,0.0,0,0.0,15.0,0.0,10.0,5.0,Emilia Romagna Grand Prix,,,,
lawson,2.0,0.0,0,0.0,2.0,0.0,2.0,0.0,Emilia Romagna Grand Prix,,,,
leclerc,23.0,5.0,0,5.0,18.0,8.0,10.0,0.0,Emilia Romagna Grand Prix,,,,
max_verstappen,37.0,5.0,0,5.0,32.0,25.0,2.0,5.0,Emilia Romagna Grand Prix,,,,
norris,27.0,0.0,0,0.0,27.0,18.0,4.0,5.0,Emilia Romagna Grand Prix,,,,
ocon,5.0,5.0,0,5.0,0.0,0.0,0.0,0.0,Emilia Romagna Grand Prix,,,,
piastri,30.0,15.0,10,5.0,15.0,15.0,0.0,0.0,Emilia Romagna Grand Prix,,,,
russell,16.0,5.0,0,5.0,11.0,6.0,0.0,5.0,Emilia Romagna Grand Prix,,,,
sainz,9.0,5.0,0,5.0,4.0,4.0,0.0,0.0,Emilia Romagna Grand Prix,,,,
stroll,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Emilia Romagna Grand Prix,,,,
tsunoda,21.0,0.0,0,0.0,21.0,1.0,20.0,0.0,Emilia Romagna Grand Prix,,,,
albon,14.0,5.0,0,5.0,9.0,2.0,2.0,5.0,Monaco Grand Prix,,,,
alonso,5.0,5.0,0,5.0,0.0,0.0,0.0,0.0,Monaco Grand Prix,,,,
antonelli,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Monaco Grand Prix,,,,
bearman,16.0,0.0,0,0.0,16.0,0.0,16.0,0.0,Monaco Grand Prix,,,,
bortoleto,9.0,0.0,0,0.0,9.0,0.0,4.0,5.0,Monaco Grand Prix,,,,
colapinto,15.0,0.0,0,0.0,15.0,0.0,10.0,5.0,Monaco Grand Prix,,,,
gasly,5.0,5.0,0,5.0,0.0,0.0,0.0,0.0,Monaco Grand Prix,,,,
hadjar,18.0,5.0,0,5.0,13.0,8.0,0.0,5.0,Monaco Grand Prix,,,,
hamilton,14.0,0.0,0,0.0,14.0,10.0,4.0,0.0,Monaco Grand Prix,,,,
hulkenberg,5.0,5.0,0,5.0,0.0,0.0,0.0,0.0,Monaco Grand Prix,,,,
lawson,6.0,0.0,0,0.0,6.0,4.0,2.0,0.0,Monaco Grand Prix,,,,
leclerc,28.0,5.0,0,5.0,23.0,18.0,0.0,5.0,Monaco Grand Prix,,,,
max_verstappen,22.0,5.0,0,5.0,17.0,12.0,0.0,5.0,Monaco Grand Prix,,,,
norris,45.0,15.0,10,5.0,30.0,25.0,0.0,5.0,Monaco Grand Prix,,,,
ocon,18.0,5.0,0,5.0,13.0,6.0,2.0,5.0,Monaco Grand Prix,,,,
piastri,15.0,0.0,0,0.0,15.0,15.0,0.0,0.0,Monaco Grand Prix,,,,
russell,16.0,5.0,0,5.0,11.0,0.0,6.0,5.0,Monaco Grand Prix,,,,
sainz,3.0,0.0,0,0.0,3.0,1.0,2.0,0.0,Monaco Grand Prix,,,,
stroll,13.0,0.0,0,0.0,13.0,0.0,8.0,5.0,Monaco Grand Prix,,,,
tsunoda,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Monaco Grand Prix,,,,
albon,5.0,5.0,0,5.0,0.0,0.0,0.0,0.0,Spanish Grand Prix,,,,
alonso,4.0,0.0,0,0.0,4.0,2.0,2.0,0.0,Spanish Grand Prix,,,,
antonelli,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Spanish Grand Prix,,,,
bearman,5.0,5.0,0,5.0,0.0,0.0,0.0,0.0,Spanish Grand Prix,,,,
bortoleto,5.0,5.0,0,5.0,0.0,0.0,0.0,0.0,Spanish Grand Prix,,,,
colapinto,6.0,0.0,0,0.0,6.0,0.0,6.0,0.0,Spanish Grand Prix,,,,
gasly,14.0,5.0,0,5.0,9.0,4.0,0.0,5.0,Spanish Grand Prix,,,,
hadjar,20.0,5.0,0,5.0,15.0,6.0,4.0,5.0,Spanish Grand Prix,,,,
hamilton,13.0,5.0,0,5.0,8.0,8.0,0.0,0.0,Spanish Grand Prix,,,,
hulkenberg,35.0,0.0,0,0.0,35.0,10.0,20.0,5.0,Spanish Grand Prix,,,,
lawson,4.0,0.0,0,0.0,4.0,0.0,4.0,0.0,Spanish Grand Prix,,,,
leclerc,28.0,0.0,0,0.0,28.0,15.0,8.0,5.0,Spanish Grand Prix,,,,
max_verstappen,11.0,5.0,0,5.0,6.0,1.0,0.0,5.0,Spanish Grand Prix,,,,
norris,18.0,0.0,0,0.0,18.0,18.0,0.0,0.0,Spanish Grand Prix,,,,
ocon,5.0,0.0,0,0.0,5.0,0.0,0.0,5.0,Spanish Grand Prix,,,,
piastri,45.0,15.0,10,5.0,30.0,25.0,0.0,5.0,Spanish Grand Prix,,,,
russell,22.0,5.0,0,5.0,17.0,12.0,0.0,5.0,Spanish Grand Prix,,,,
sainz,11.0,0.0,0,0.0,11.0,0.0,6.0,5.0,Spanish Grand Prix,,,,
stroll,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Spanish Grand Prix,,,,
tsunoda,12.0,0.0,0,0.0,12.0,0.0,12.0,0.0,Spanish Grand Prix,,,,
albon,5.0,5.0,0,5.0,0.0,0.0,0.0,0.0,Canadian Grand Prix,,,,
alonso,16.0,5.0,0,5.0,11.0,6.0,0.0,5.0,Canadian Grand Prix,,,,
antonelli,17.0,0.0,0,0.0,17.0,15.0,2.0,0.0,Canadian Grand Prix,,,,
bearman,9.0,5.0,0,5.0,4.0,0.0,4.0,0.0,Canadian Grand Prix,,,,
bortoleto,2.0,0.0,0,0.0,2.0,0.0,2.0,0.0,Canadian Grand Prix,,,,
colapinto,10.0,5.0,0,5.0,5.0,0.0,0.0,5.0,Canadian Grand Prix,,,,
gasly,10.0,0.0,0,0.0,10.0,0.0,10.0,0.0,Canadian Grand Prix,,,,
hadjar,10.0,5.0,0,5.0,5.0,0.0,0.0,5.0,Canadian Grand Prix,,,,
hamilton,13.0,5.0,0,5.0,8.0,8.0,0.0,0.0,Canadian Grand Prix,,,,
hulkenberg,20.0,5.0,0,5.0,15.0,4.0,6.0,5.0,Canadian Grand Prix,,,,
lawson,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Canadian Grand Prix,,,,
leclerc,21.0,0.0,0,0.0,21.0,10.0,6.0,5.0,Canadian Grand Prix,,,,
max_verstappen,28.0,5.0,0,5.0,23.0,18.0,0.0,5.0,Canadian Grand Prix,,,,
norris,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Canadian Grand Prix,,,,
ocon,17.0,0.0,0,0.0,17.0,2.0,10.0,5.0,Canadian Grand Prix,,,,
piastri,22.0,5.0,0,5.0,17.0,12.0,0.0,5.0,Canadian Grand Prix,,,,
russell,45.0,15.0,10,5.0,30.0,25.0,0.0,5.0,Canadian Grand Prix,,,,
sainz,18.0,0.0,0,0.0,18.0,1.0,12.0,5.0,Canadian Grand Prix,,,,
stroll,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Canadian Grand Prix,,,,
tsunoda,12.0,0.0,0,0.0,12.0,0.0,12.0,0.0,Canadian Grand Prix,,,,
albon,10.0,5.0,0,5.0,5.0,0.0,0.0,5.0,Austrian Grand Prix,,,,
alonso,24.0,5.0,0,5.0,19.0,6.0,8.0,5.0,Austrian Grand Prix,,,,
antonelli,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Austrian Grand Prix,,,,
bearman,13.0,5.0,0,5.0,8.0,0.0,8.0,0.0,Austrian Grand Prix,,,,
bortoleto,14.0,5.0,0,5.0,9.0,4.0,0.0,5.0,Austrian Grand Prix,,,,
colapinto,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Austrian Grand Prix,,,,
gasly,10.0,5.0,0,5.0,5.0,0.0,0.0,5.0,Austrian Grand Prix,,,,
hadjar,2.0,0.0,0,0.0,2.0,0.0,2.0,0.0,Austrian Grand Prix,,,,
hamilton,12.0,0.0,0,0.0,12.0,12.0,0.0,0.0,Austrian Grand Prix,,,,
hulkenberg,24.0,0.0,0,0.0,24.0,2.0,22.0,0.0,Austrian Grand Prix,,,,
lawson,18.0,5.0,0,5.0,13.0,8.0,0.0,5.0,Austrian Grand Prix,,,,
leclerc,25.0,5.0,0,5.0,20.0,15.0,0.0,5.0,Austrian Grand Prix,,,,
max_verstappen,5.0,5.0,0,5.0,0.0,0.0,0.0,0.0,Austrian Grand Prix,,,,
norris,45.0,15.0,10,5.0,30.0,25.0,0.0,5.0,Austrian Grand Prix,,,,
